Total VLESS source: 428
Unique /24 groups: 325
Selected candidates: 240
Batches: 12

batch_01.txt: 20 configs
  15. 140.99.223.19:443 | net=140.99.223.0/24 | SNI=savesafe.run | type=tcp | flow=xtls-rprx-vision | score=109 | REALITY,VISION,TCP/RAW,PORT-443
  16. 84.21.189.193:443 | net=84.21.189.0/24 | SNI=stackoverflow.com | type=tcp | flow=xtls-rprx-vision | score=109 | REALITY,VISION,TCP/RAW,PORT-443
  17. 195.184.247.225:443 | net=195.184.247.0/24 | SNI=savesafe.co | type=tcp | flow=xtls-rprx-vision | score=109 | REALITY,VISION,TCP/RAW,PORT-443
  18. 144.31.168.133:443 | net=144.31.168.0/24 | SNI=eu-central.cendora.ru | type=tcp | flow=xtls-rprx-vision | score=109 | REALITY,VISION,TCP/RAW,PORT-443
  19. 144.31.125.60:443 | net=144.31.125.0/24 | SNI=www.intel.com | type=tcp | flow=xtls-rprx-vision | score=109 | REALITY,VISION,TCP/RAW,PORT-443
  20. 178.162.253.64:443 | net=178.162.253.0/24 | SNI=de.servers.gracevpnbuy.com | type=tcp | flow=xtls-rprx-vision | score=109 | REALITY,VISION,TCP/RAW,PORT-443

batch_03.txt: 20 configs
  01. 144.31.86.136:443 | net=144.31.86.0/24 | SNI=eu-west.cendora.ru | type=tcp | flow=xtls-rprx-vision | score=109 | REALITY,VISION,TCP/RAW,PORT-443
  02. 89.105.208.121:443 | net=89.105.208.0/24 | SNI=n1.cloudgaming.one | type=tcp | flow=xtls-rprx-vision | score=109 | REALITY,VISION,TCP/RAW,PORT-443
  03. 185.91.54.83:443 | net=185.91.54.0/24 | SNI=eda.x5.ru | type=tcp | flow=xtls-rprx-vision | score=109 | REALITY,VISION,TCP/RAW,PORT-443
  04. 162.128.181.182:443 | net=162.128.181.0/24 | SNI=www.cloudflare.com | type=tcp | flow=xtls-rprx-vision | score=109 | REALITY,VISION,TCP/RAW,PORT-443
  05. savesafe.co:443 | net=162.35.231.0/24 | SNI=savesafe.co | type=tcp | flow=xtls-rprx-vision | score=109 | REALITY,VISION,TCP/RAW,PORT-443
  06. 103.109.234.166:443 | net=103.109.234.0/24 | SNI=dep.opngtr.nl | type=tcp | flow=xtls-rprx-vision | score=109 | REALITY,VISION,TCP/RAW,PORT-443
  07. nl.go-vpn.club:443 | net=unresolved | SNI=gateway.icloud.com | type=tcp | flow=xtls-rprx-vision | score=109 | REALITY,VISION,TCP/RAW,PORT-443
  08. 43.165.177.82:443 | net=43.165.177.0/24 | SNI=www.cloudflare.com | type=tcp | flow=xtls-rprx-vision | score=109 | REALITY,VISION,TCP/RAW,PORT-443
  09. 103.76.85.228:443 | net=103.76.85.0/24 | SNI=www.apple.com | type=tcp | flow=xtls-rprx-vision | score=109 | REALITY,VISION,TCP/RAW,PORT-443
  10. 144.31.166.71:443 | net=144.31.166.0/24 | SNI=eu-central.cendora.ru | type=tcp | flow=xtls-rprx-vision | score=109 | REALITY,VISION,TCP/RAW,PORT-443
  11. ha0o-6njhon.uniora.top:443 | net=23.251.47.0/24 | SNI=www.apple.com | type=tcp | flow=xtls-rprx-vision | score=109 | REALITY,VISION,TCP/RAW,PORT-443
  12. nodefulcrum.mooo.com:443 | net=2.27.9.0/24 | SNI=nodefulcrum.mooo.com | type=tcp | flow=xtls-rprx-vision | score=109 | REALITY,VISION,TCP/RAW,PORT-443
  13. 212.118.40.187:443 | net=212.118.40.0/24 | SNI=www.cisco.com | type=tcp | flow=xtls-rprx-vision | score=109 | REALITY,VISION,TCP/RAW,PORT-443
  14. 95.85.247.155:443 | net=95.85.247.0/24 | SNI=eu-west.cendora.ru | type=tcp | flow=xtls-rprx-vision | score=109 | REALITY,VISION,TCP/RAW,PORT-443
  15. 150.241.102.202:443 | net=150.241.102.0/24 | SNI=america.cendora.ru | type=tcp | flow=xtls-rprx-vision | score=109 | REALITY,VISION,TCP/RAW,PORT-443
  16. 50.7.41.142:443 | net=50.7.41.0/24 | SNI=deepl.com | type=raw | flow=xtls-rprx-vision | score=109 | REALITY,VISION,TCP/RAW,PORT-443
  17. 64.188.77.13:443 | net=64.188.77.0/24 | SNI=eu-west.cendora.ru | type=tcp | flow=xtls-rprx-vision | score=109 | REALITY,VISION,TCP/RAW,PORT-443
  18. 46.29.235.9:443 | net=46.29.235.0/24 | SNI=telegraf.lv | type=tcp | flow=xtls-rprx-vision | score=109 | REALITY,VISION,TCP/RAW,PORT-443
  19. 118.26.59.85:443 | net=118.26.59.0/24 | SNI=www.bing.com | type=tcp | flow=xtls-rprx-vision | score=109 | REALITY,VISION,TCP/RAW,PORT-443
  20. 81.85.75.85:443 | net=81.85.75.0/24 | SNI=baltic.cendora.ru | type=tcp | flow=xtls-rprx-vision | score=109 | REALITY,VISION,TCP/RAW,PORT-443

batch_04.txt: 20 configs
  01. 148.113.5.44:443 | net=148.113.5.0/24 | SNI=www.cloudflare.com | type=tcp | flow=xtls-rprx-vision | score=109 | REALITY,VISION,TCP/RAW,PORT-443
  02. 169.40.42.232:443 | net=169.40.42.0/24 | SNI=yahoo.com | type=tcp | flow=xtls-rprx-vision | score=109 | REALITY,VISION,TCP/RAW,PORT-443
  03. youtube.superbuba.top:443 | net=130.49.189.0/24 | SNI=youtube.superbuba.top | type=tcp | flow=xtls-rprx-vision | score=109 | REALITY,VISION,TCP/RAW,PORT-443
  04. 154.64.246.9:443 | net=154.64.246.0/24 | SNI=www.apple.com | type=tcp | flow=xtls-rprx-vision | score=109 | REALITY,VISION,TCP/RAW,PORT-443
  05. 83.147.18.3:443 | net=83.147.18.0/24 | SNI=www.cloudflare.com | type=tcp | flow=xtls-rprx-vision | score=109 | REALITY,VISION,TCP/RAW,PORT-443
  06. 31.200.250.160:443 | net=31.200.250.0/24 | SNI=api.max.ru | type=tcp | flow=xtls-rprx-vision | score=109 | REALITY,VISION,TCP/RAW,PORT-443
  07. 31.76.4.103:443 | net=31.76.4.0/24 | SNI=eu-central.cendora.ru | type=tcp | flow=xtls-rprx-vision | score=109 | REALITY,VISION,TCP/RAW,PORT-443
  08. 82.117.255.87:443 | net=82.117.255.0/24 | SNI=www.cloudflare.com | type=tcp | flow=xtls-rprx-vision | score=109 | REALITY,VISION,TCP/RAW,PORT-443
  09. gb1.murhost.network:443 | net=164.37.104.0/24 | SNI=gb1.murhost.network | type=tcp | flow=xtls-rprx-vision | score=109 | REALITY,VISION,TCP/RAW,PORT-443
  10. 5.34.182.23:443 | net=5.34.182.0/24 | SNI=eu-central.cendora.ru | type=tcp | flow=xtls-rprx-vision | score=109 | REALITY,VISION,TCP/RAW,PORT-443
  11. 155.103.70.160:443 | net=155.103.70.0/24 | SNI=tr.savesafe.cc | type=tcp | flow=xtls-rprx-vision | score=109 | REALITY,VISION,TCP/RAW,PORT-443
  12. kz2.techdatacloud.org:443 | net=5.180.42.0/24 | SNI=cloud.mail.ru | type=tcp | flow=xtls-rprx-vision | score=109 | REALITY,VISION,TCP/RAW,PORT-443
  13. it.getsavesafe.com:443 | net=37.202.205.0/24 | SNI=it.savesafe.cc | type=tcp | flow=xtls-rprx-vision | score=109 | REALITY,VISION,TCP/RAW,PORT-443
  14. 193.238.153.15:443 | net=193.238.153.0/24 | SNI=www.cloudflare.com | type=tcp | flow=xtls-rprx-vision | score=109 | REALITY,VISION,TCP/RAW,PORT-443
  15. 45.195.111.15:443 | net=45.195.111.0/24 | SNI=storage.yandex.net | type=tcp | flow=xtls-rprx-vision | score=109 | REALITY,VISION,TCP/RAW,PORT-443
  16. 144.31.242.1:443 | net=144.31.242.0/24 | SNI=eu-central.cendora.ru | type=tcp | flow=xtls-rprx-vision | score=109 | REALITY,VISION,TCP/RAW,PORT-443
  17. 178.128.112.70:443 | net=178.128.112.0/24 | SNI=www.amazon.com | type=tcp | flow=xtls-rprx-vision | score=109 | REALITY,VISION,TCP/RAW,PORT-443
  18. 138.124.125.211:443 | net=138.124.125.0/24 | SNI=www.apple.com | type=tcp | flow=xtls-rprx-vision | score=109 | REALITY,VISION,TCP/RAW,PORT-443
